 , SIZE, TRAVELS, WAITS, CP, CD
 , 4, 5565, 20, 28, 0
 , 5, 18597, 12, 22, 0
 , 2, 2914, 20, 16, 0
 , 3, 3638, 23, 22, 0
 , 1, 2509, 41, 0, 0
 , 5, 18809, 18, 18, 0
 , 2, 2666, 46, 6, 0
 , 1, 2431, 43, 0, 0
 , 1, 2371, 37, 0, 0
 , 1, 2380, 36, 0, 0
 , 3, 4234, 31, 16, 0
 , 1, 2452, 57, 0, 0
 , 4, 5521, 10, 26, 0
 , 2, 2684, 55, 12, 0
 , 2, 2687, 36, 14, 0
 , 3, 4001, 33, 14, 0
 , 1, 2389, 43, 0, 0
 , 3, 4154, 25, 16, 0
 , 5, 15701, 14, 20, 0
 , 1, 2179, 72, 0, 0
 , 5, 18681, 5, 18, 0
 , 4, 5621, 16, 22, 0
 , 3, 3866, 40, 18, 0
 , 1, 2177, 47, 0, 0
 , 2, 2379, 69, 12, 0

RUN 5
 , 5, 19579, 0, 22, 0
 , 2, 3377, 0, 14, 0
 , 4, 6194, 0, 22, 0
 , 1, 2618, 0, 0, 0
 , 2, 2978, 0, 18, 0
 , 5, 18239, 0, 24, 0
 , 2, 3418, 0, 12, 0
 , 4, 5981, 2, 24, 0
 , 4, 7085, 0, 22, 0
 , 5, 16141, 0, 40, 0
 , 1, 2678, 1, 0, 0
 , 3, 4061, 1, 20, 0
 , 2, 2793, 2, 14, 0
 , 4, 6360, 2, 22, 0
 , 1, 2763, 0, 0, 0
 , 4, 6415, 1, 20, 0
 , 3, 3924, 3, 20, 0
 , 3, 3596, 2, 22, 0
 , 1, 2557, 3, 0, 0
 , 5, 16836, 1, 24, 0
 , 3, 4148, 1, 12, 0
 , 4, 6218, 0, 24, 0
 , 2, 3126, 1, 12, 0
 , 3, 4749, 3, 8, 0
 , 2, 2911, 2, 10, 0
 , 5, 17937, 0, 16, 0
 , 3, 4514, 5, 16, 0
 , 3, 4284, 3, 22, 0
 , 3, 4057, 6, 22, 0
 , 1, 2731, 0, 0, 0
 , 2, 3222, 2, 14, 0
 , 3, 4057, 5, 20, 0
 , 3, 4296, 4, 14, 0
 , 4, 6350, 2, 28, 0
 , 4, 6809, 1, 16, 0
 , 5, 20750, 0, 24, 0
 , 1, 2804, 8, 0, 0
 , 2, 3253, 4, 16, 0
 , 2, 2948, 6, 16, 0
 , 3, 4231, 9, 16, 0
 , 3, 3872, 9, 18, 0
 , 3, 4318, 0, 14, 0
 , 3, 4251, 2, 24, 0
 , 5, 19254, 0, 22, 0
 , 4, 6958, 0, 18, 0
 , 2, 3259, 7, 8, 0
 , 4, 5513, 1, 18, 0
 , 4, 7059, 6, 18, 0
 , 5, 19584, 1, 18, 0
 , 3, 4300, 3, 16, 0
 , 3, 4851, 2, 14, 0
 , 1, 2722, 7, 0, 0
 , 3, 4198, 11, 16, 0
 , 4, 6643, 13, 12, 0
 , 1, 2550, 7, 0, 0
 , 2, 3153, 14, 8, 0
 , 5, 15837, 2, 36, 0
 , 4, 7044, 3, 22, 0
 , 2, 2843, 14, 12, 0
 , 1, 2962, 11, 0, 0
 , 3, 4142, 7, 20, 0
 , 4, 6152, 14, 26, 0
 , 2, 3306, 16, 14, 0
 , 3, 3727, 18, 28, 0
 , 3, 4254, 7, 16, 0
 , 4, 6878, 6, 20, 0
 , 1, 2811, 39, 0, 0
 , 5, 18981, 3, 26, 0
 , 2, 3128, 4, 14, 0
 , 2, 2424, 18, 22, 0
 , 3, 3798, 9, 20, 0
 , 3, 4398, 11, 20, 0
 , 4, 7588, 8, 14, 0
 , 4, 6735, 14, 22, 0
 , 2, 2748, 5, 20, 0
 , 4, 6274, 11, 30, 0
 , 4, 6928, 20, 18, 0
 , 5, 19155, 0, 24, 0
 , 3, 3744, 17, 18, 0
 , 1, 2611, 29, 0, 0
 , 2, 3172, 39, 16, 0
 , 5, 17516, 8, 24, 0
 , 3, 4028, 11, 16, 0
 , 1, 2582, 15, 0, 0
 , 4, 6665, 10, 28, 0
 , 4, 6071, 17, 26, 0
 , 2, 2970, 31, 14, 0
 , 5, 16966, 2, 22, 0
 , 2, 2983, 26, 14, 0
 , 1, 2698, 32, 0, 0
 , 1, 2692, 38, 0, 0
 , 5, 15630, 12, 22, 0
 , 2, 3067, 32, 12, 0
 , 5, 15944, 10, 22, 0
 , 4, 6831, 42, 24, 0
 , 2, 3175, 48, 8, 0
 , 1, 2448, 45, 0, 0
 , 1, 2716, 65, 0, 0
 , 1, 2668, 64, 0, 0
 , 4, 7073, 21, 14, 0

RUN 6
 , 2, 2343, 0, 12, 0
 , 4, 5697, 0, 22, 0
 , 4, 5104, 0, 22, 0
 , 2, 2062, 0, 16, 0
 , 1, 1734, 2, 0, 0
 , 1, 1794, 0, 0, 0
 , 1, 2239, 2, 0, 0
 , 5, 11001, 0, 22, 0
 , 2, 2146, 4, 12, 0
 , 2, 2307, 7, 14, 0
 , 4, 4031, 4, 32, 0
 , 1, 2069, 6, 0, 0
 , 1, 1790, 10, 0, 0
 , 5, 11472, 2, 26, 0
 , 5, 11553, 5, 18, 0
 , 4, 3492, 4, 22, 0
 , 4, 3998, 9, 26, 0
 , 4, 5159, 4, 16, 0
 , 3, 2798, 9, 22, 0
 , 3, 2484, 7, 18, 0
 , 1, 2009, 12, 0, 0
 , 3, 2776, 5, 20, 0
 , 3, 2825, 10, 20, 0
 , 1, 1900, 12, 0, 0
 , 5, 11634, 9, 20, 0
 , 4, 3701, 15, 20, 0
 , 4, 4296, 3, 12, 0
 , 2, 2703, 13, 12, 0
 , 5, 11048, 4, 34, 0
 , 2, 2366, 13, 12, 0
 , 4, 4976, 6, 18, 0
 , 4, 5017, 13, 14, 0
 , 2, 2539, 23, 16, 0
 , 4, 4044, 9, 14, 0
 , 3, 3251, 17, 24, 0
 , 5, 10206, 2, 32, 0
 , 1, 2109, 22, 0, 0
 , 3, 2832, 14, 28, 0
 , 3, 3021, 23, 16, 0
 , 1, 1777, 27, 0, 0
 , 3, 2851, 19, 16, 0
 , 3, 3280, 18, 20, 0
 , 3, 2746, 35, 20, 0
 , 2, 2351, 29, 16, 0
 , 5, 13661, 8, 26, 0
 , 2, 2196, 22, 8, 0
 , 2, 2141, 21, 14, 0
 , 3, 3529, 8, 20, 0
 , 4, 5219, 12, 14, 0
 , 1, 2173, 26, 0, 0
 , 5, 9022, 3, 16, 0
 , 2, 2167, 26, 18, 0
 , 5, 12186, 22, 18, 0
 , 5, 10849, 7, 26, 0
 , 4, 4743, 17, 24, 0
 , 3, 2901, 36, 28, 0
 , 3, 3180, 38, 18, 0
 , 5, 10890, 14, 22, 0
 , 3, 3525, 32, 8, 0
 , 4, 4867, 21, 20, 0
 , 4, 5051, 26, 18, 0
 , 5, 11701, 24, 16, 0
 , 3, 2873, 38, 24, 0
 , 5, 11337, 8, 24, 0
 , 3, 3232, 40, 14, 0
 , 1, 2112, 48, 0, 0
 , 1, 1825, 65, 0, 0
 , 2, 2375, 66, 18, 0
 , 5, 11185, 24, 18, 0
 , 2, 2603, 64, 16, 0
 , 4, 3724, 81, 22, 0
 , 5, 11963, 11, 28, 0
 , 1, 1976, 77, 0, 0
 , 1, 1798, 49, 0, 0
 , 1, 2131, 83, 0, 0
 , 3, 3160, 77, 20, 0
 , 3, 3071, 62, 16, 0
 , 1, 2169, 100, 0, 0
 , 5, 11049, 10, 26, 0
 , 3, 3086, 76, 18, 0
 , 5, 11911, 14, 18, 0
 , 5, 10612, 20, 24, 0
 , 2, 2144, 95, 12, 0
 , 2, 2405, 81, 18, 0
 , 1, 1927, 65, 0, 0
 , 4, 4640, 80, 20, 0
 , 5, 14111, 29, 16, 0
 , 4, 4599, 55, 20, 0
 , 4, 5645, 75, 20, 0
 , 4, 4686, 51, 20, 0
 , 4, 3769, 41, 26, 0
 , 5, 12482, 7, 24, 0
 , 1, 1782, 115, 0, 0
 , 2, 2424, 131, 16, 0
 , 3, 3305, 154, 20, 0
 , 3, 3251, 130, 22, 0
 , 3, 2285, 120, 24, 0
 , 3, 3058, 71, 18, 0
 , 3, 3006, 166, 22, 0
 , 4, 5520, 66, 6, 0

RUN 7
 , 2, 3615, 0, 6, 0
 , 4, 6875, 0, 26, 0
 , 4, 7337, 1, 24, 0
 , 2, 3088, 1, 18, 0
 , 5, 19623, 0, 26, 0
 , 3, 4311, 1, 20, 0
 , 2, 3339, 3, 10, 0
 , 5, 22012, 1, 12, 0
 , 3, 4970, 1, 18, 0
 , 1, 2802, 0, 0, 0
 , 4, 7494, 0, 20, 0
 , 3, 5542, 1, 14, 0
 , 1, 3175, 4, 0, 0
 , 2, 3668, 1, 12, 0
 , 1, 3142, 5, 0, 0
 , 5, 20379, 0, 24, 0
 , 4, 7528, 3, 22, 0
 , 3, 4853, 7, 12, 0
 , 3, 5286, 4, 18, 0
 , 2, 3626, 2, 18, 0
 , 4, 7526, 1, 22, 0
 , 5, 18768, 0, 30, 0
 , 2, 3778, 0, 12, 0
 , 5, 20264, 2, 28, 0
 , 1, 2864, 6, 0, 0
 , 5, 18512, 2, 24, 0
 , 1, 2581, 10, 0, 0
 , 1, 3026, 8, 0, 0
 , 4, 8109, 6, 18, 0
 , 2, 3533, 7, 16, 0
 , 5, 19872, 2, 16, 0
 , 3, 4763, 3, 14, 0
 , 4, 6865, 7, 20, 0
 , 3, 4942, 4, 18, 0
 , 1, 3221, 12, 0, 0
 , 2, 3492, 9, 14, 0
 , 2, 3334, 6, 10, 0
 , 1, 2998, 13, 0, 0
 , 3, 3782, 8, 22, 0
 , 1, 2756, 12, 0, 0
 , 5, 19113, 4, 18, 0
 , 2, 3274, 7, 12, 0
 , 5, 20738, 3, 22, 0
 , 3, 4504, 9, 16, 0
 , 5, 19265, 2, 20, 0
 , 3, 5164, 10, 16, 0
 , 4, 7724, 4, 20, 0
 , 2, 3560, 9, 12, 0
 , 4, 7334, 10, 20, 0
 , 1, 2918, 17, 0, 0
 , 5, 18088, 6, 22, 0
 , 2, 3145, 13, 14, 0
 , 4, 7236, 3, 24, 0
 , 3, 4590, 8, 18, 0
 , 2, 3584, 14, 2, 0
 , 1, 3096, 12, 0, 0
 , 2, 3642, 22, 14, 0
 , 1, 3045, 20, 0, 0
 , 3, 4733, 18, 18, 0
 , 1, 3024, 17, 0, 0
 , 3, 5093, 7, 22, 0
 , 2, 4048, 9, 10, 0
 , 3, 4703, 15, 12, 0
 , 2, 3355, 17, 14, 0
 , 3, 4700, 14, 20, 0
 , 4, 7374, 6, 18, 0
 , 1, 2832, 38, 0, 0
 , 1, 2811, 19, 0, 0
 , 5, 19710, 7, 18, 0
 , 1, 3145, 37, 0, 0
 , 2, 3200, 22, 16, 0
 , 1, 2983, 22, 0, 0
 , 3, 4648, 16, 24, 0
 , 4, 8527, 8, 20, 0
 , 5, 17790, 15, 26, 0
 , 5, 15192, 10, 28, 0
 , 2, 3518, 18, 16, 0
 , 1, 3053, 46, 0, 0
 , 3, 4625, 36, 24, 0
 , 4, 7008, 15, 26, 0
 , 5, 19813, 5, 20, 0
 , 4, 7411, 6, 24, 0
 , 3, 4696, 11, 10, 0
 , 4, 6901, 20, 26, 0
 , 5, 19281, 12, 24, 0
 , 4, 6695, 26, 18, 0
 , 2, 3319, 44, 18, 0
 , 3, 5469, 34, 18, 0
 , 4, 7413, 23, 24, 0
 , 5, 19325, 12, 22, 0
 , 1, 3328, 58, 0, 0
 , 4, 6710, 19, 24, 0
 , 1, 3149, 36, 0, 0
 , 1, 2833, 49, 0, 0
 , 2, 3095, 60, 14, 0
 , 1, 2682, 56, 0, 0
 , 3, 5016, 42, 20, 0
 , 4, 7329, 14, 24, 0
 , 5, 18323, 8, 28, 0
 , 5, 18106, 7, 24, 0

RUN 8
 , 3, 2407, 0, 24, 0
 , 4, 3706, 0, 20, 0
 , 1, 1429, 0, 0, 0
 , 4, 3894, 0, 14, 0
 , 2, 1801, 0, 12, 0
 , 1, 1601, 0, 0, 0
 , 1, 1842, 0, 0, 0
 , 5, 12254, 0, 18, 0
 , 4, 3754, 0, 28, 0
 , 3, 2369, 0, 20, 0
 , 1, 1485, 0, 0, 0
 , 5, 12475, 0, 22, 0
 , 1, 1560, 0, 0, 0
 , 1, 1617, 0, 0, 0
 , 1, 1558, 1, 0, 0
 , 5, 10790, 0, 22, 0
 , 4, 3691, 0, 14, 0
 , 2, 1986, 2, 18, 0
 , 1, 1538, 0, 0, 0
 , 2, 1739, 0, 18, 0
 , 2, 1776, 0, 16, 0
 , 5, 9620, 0, 28, 0
 , 3, 2449, 0, 24, 0
 , 3, 2431, 0, 16, 0
 , 5, 10939, 0, 22, 0
 , 4, 4152, 0, 18, 0
 , 4, 3412, 3, 34, 0
 , 3, 2386, 0, 22, 0
 , 3, 2723, 0, 16, 0
 , 5, 9464, 0, 30, 0
 , 5, 9334, 2, 26, 0
 , 4, 4294, 0, 12, 0
 , 1, 1637, 0, 0, 0
 , 4, 4131, 0, 16, 0
 , 5, 9804, 0, 24, 0
 , 3, 2765, 1, 16, 0
 , 3, 2735, 1, 20, 0
 , 5, 11587, 1, 22, 0
 , 4, 3763, 0, 24, 0
 , 5, 11439, 1, 20, 0
 , 3, 2401, 2, 22, 0
 , 1, 1630, 1, 0, 0
 , 3, 2565, 2, 22, 0
 , 3, 2575, 2, 24, 0
 , 5, 10404, 1, 24, 0
 , 5, 9868, 2, 28, 0
 , 2, 1708, 1, 12, 0
 , 1, 1514, 4, 0, 0
 , 4, 3745, 5, 26, 0
 , 5, 10874, 0, 22, 0
 , 4, 4001, 0, 26, 0
 , 1, 1597, 5, 0, 0
 , 2, 1985, 5, 12, 0
 , 3, 2261, 2, 24, 0
 , 1, 1624, 1, 0, 0
 , 1, 1695, 2, 0, 0
 , 2, 1935, 8, 14, 0
 , 2, 2033, 4, 14, 0
 , 4, 4032, 5, 28, 0
 , 4, 4013, 7, 20, 0
 , 1, 1615, 9, 0, 0
 , 4, 3463, 1, 18, 0
 , 4, 3886, 0, 22, 0
 , 4, 3315, 3, 28, 0
 , 3, 2608, 1, 14, 0
 , 1, 1640, 2, 0, 0
 , 2, 1831, 5, 22, 0
 , 3, 2304, 3, 26, 0
 , 5, 12302, 3, 16, 0
 , 5, 9784, 1, 22, 0
 , 4, 3998, 1, 26, 0
