 , SIZE, TRAVELS, WAITS, CP, CD
 , 5, 12666, 2, 24, 0
 , 4, 5141, 1, 22, 0
 , 1, 2152, 3, 0, 0

RUN 10
 , 5, 14027, 0, 28, 0
 , 2, 2356, 0, 12, 0
 , 5, 14028, 0, 28, 0
 , 3, 3421, 0, 20, 0
 , 5, 14687, 0, 22, 0
 , 3, 3436, 0, 16, 0
 , 5, 13035, 0, 22, 0
 , 2, 2445, 0, 12, 0
 , 4, 3553, 0, 32, 0
 , 1, 2217, 2, 0, 0
 , 5, 12904, 0, 20, 0
 , 2, 2481, 4, 14, 0
 , 1, 1869, 4, 0, 0
 , 3, 2888, 3, 12, 0
 , 3, 3241, 0, 16, 0
 , 1, 2018, 1, 0, 0
 , 3, 3144, 4, 18, 0
 , 2, 2111, 3, 20, 0
 , 4, 5033, 1, 16, 0
 , 4, 5025, 2, 22, 0
